Názov školy;Obec;Ulica;PSČ
Súkromná stredná odborná škola s vyučovacím jazykom maďarským - Magyar Tannyelvű Magán Szakközépiskola;Dolné Obdokovce;Dolné Obdokovce 71;95102
Stredná odborná škola;Nitra;Cintorínska 4;95050
Stredná odborná škola dopravy a služieb;Nové Zámky;Jesenského 1;94062
Stredná odborná škola - Szakközépiskola;Dvory nad Žitavou;Hlavné námestie 2;94131
Stredná odborná škola techniky a služieb;Topoľčany;Tovarnícka 1609;95582
Stredná odborná škola agrotechnická;Topoľčany;Tovarnícka 1632;95529
Stredná odborná škola techniky, služieb a obchodu - Műszaki, Szolgáltatások és Kereskedelmi Szakközépiskola;Štúrovo;Svätého Štefana 81;94303
Stredná odborná škola služieb;Levice;Sv. Michala 36;93480
Stredná odborná škola - Szakközépiskola;Kravany nad Dunajom;Dunajský rad 138;94636
Súkromná stredná odborná škola, Magán Szakközépiskola;Bátorove Kosihy;Hlavné námestie 35;94634
Súkromná stredná odborná škola s vyučovacím jazykom maďarským - Magyar Tannyelvű Magán Szakközépiskola;Kolárovo;Slovenská 52;94603
Stredná odborná škola - Szakközépiskola;Šahy;Slov.národ.povstania 41;93601
Stredná odborná škola gastronómie a služieb;Šurany;Hviezdoslavova 55;94201
Stredná odborná škola technická - Műszaki Szakközépiskola;Komárno;Bratislavská cesta 10;94525
Stredná odborná škola;Kalná nad Hronom;Mieru 23;93532
Stredná odborná škola;Levice;Pod amfiteátrom 7;93401
Súkromná stredná odborná škola - Magán Szakközépiskola - ako organizačná zložka Súkromnej spojenej školy - Kereskedelmi;Štúrovo;Svätého Štefana 648/36;94301
Stredná odborná škola stavebná;Nitra;Nábrežie mládeže 1;95028
Stredná odborná škola gastronómie a cestovného ruchu;Nitra;Levická 40;95003
Stredná odborná škola stavebná - Építészeti Szakközépiskola;Nové Zámky;Nitrianska cesta 61;94001
Stredná odborná škola ako organizačná zložka Spojenej školy;Šaľa;Nivy 2;92705
Stredná odborná škola techniky a mechanizácie - Műszaki és Gépesítési Szakközépiskola;Hurbanovo;1. mája 1;94701
Stredná odborná škola - Szakközépiskola;Šaľa;Štúrova 74;92701
Stredná odborná škola pri Reedukačnom centre;Zlaté Moravce;Prílepská 6;95301
Stredná odborná škola potravinárska;Nitra;Cabajská 6;94901
Stredná odborná škola potravinárska;Topoľčany;Krušovská 2091;95501
Stredná odborná škola drevárska;Topoľčany;Pílska 7;95501
Stredná priemyselná škola stavebná - Építőipari Szakközépiskola;Hurbanovo;Konkolyho 8;94701
Stredná priemyselná škola stavebná;Nitra;Cabajská 4;95050
Stredná priemyselná škola - Ipari Szakközépiskola;Komárno;Petőfiho 2;94550
Stredná priemyselná škola;Levice;F. Hečku 25;93447
Stredná priemyselná škola strojnícka a elektrotechnická;Nitra;Fraňa Kráľa 20;94901
Stredná priemyselná škola ako organizačná zložka Spojenej školy;Šaľa;Nivy 2;92705
Stredná priemyselná škola potravinárska ako organizačná zložka Spojenej školy;Nitra;Slančíkovej 2;95050
Stredná odborná škola poľnohospodárstva a služieb na vidieku;Levice;Na lúkach 18;93403
Stredná odborná škola veterinárna;Nitra;Drážovská 14;95012
Hotelová akadémia ako organizačná zložka Spojenej školy;Nitra;Slančíkovej 2;95050
Obchodná akadémia;Levice;Kálmána Kittenbergera 2;93440
Obchodná akadémia;Nitra;Bolečkova 2;95050
Súkromná obchodná akadémia - Kereskedelmi Magánakadémia - ako organizačná zložka Súkromnej spojenej škly;Štúrovo;Svätého Štefana 36;94301
Obchodná akadémia;Šurany;Nám. hrdinov 7;94201
Obchodná akadémia;Topoľčany;Inovecká 2041;95594
Obchodná akadémia;Zlaté Moravce;Bernolákova 26;95320
Obchodná akadémia - Kereskedelmi Akadémia - ako organizačná zložka Spojenej školy;Nové Zámky;Komárňanská 28;94075
Obchodná akadémia - Kereskedelmi Akadémia - ako organizačná zložka Spojenej školy;Šaľa;Nivy 2;92705
Stredná odborná škola obchodu a služieb;Topoľčany;T. Vansovej 2;95501
Stredná odborná škola obchodu a služieb;Zlaté Moravce;Slov.národ.povstania 5;95301
Stredná odborná škola obchodu a služieb - Kereskedelmi és Szolgáltatóipari Szakközépiskola;Komárno;Budovateľská 32;94501
Stredná odborná škola hotelových služieb a obchodu;Nové Zámky;Zdravotnícka 3;94051
Stredná odborná škola pedagogická;Levice;Ul. F. Engelsa 3;93429
Praktická škola ako organizačná zložka Spojenej školy internátnej;Topoľčany;Tovarnícka 1632;95501
Praktická škola ako organizačná zložka Spojenej školy internátnej;Nitra;Červeňova 42;94901
Praktická škola ako organizačná zložka Spojenej školy;Zlaté Moravce;J. Kráľa 39;95301
Praktická škola ako organizačná zložka Spojenej školy internátnej;Levice;Z. Nejedlého 41;94001
Praktická škola ako organizačná zložka Spojenej školy;Šaľa;Krátka 11;92701
Odborné učilište internátne - Benntlakásos Szakmunkásképző - ako organizačná zložka Spojenej školy internátnej;Šahy;Kapitulská 15;93601
Odborné učilište internátne;Mojmírovce;Nám. sv.Ladislava 1791/14;95115
Odborné učilište internátne;Nová Ves nad Žitavou;Nová Ves nad Žitavou 249;95151
Stredná odborná škola technická;Tlmače;Kozmálovská cesta 9;93528
Stredná odborná škola technická;Šurany;Nitrianska 61;94201
Stredná odborná škola technická;Zlaté Moravce;Ul. 1. mája 22;95301
Stredná odborná škola technická;Vráble;Ul. 1. mája 500;95201
Súkromná stredná odborná škola polytechnická DSA;Nitra;Novozámocká 220;94905
Stredná odborná škola polytechnická;Zlaté Moravce;Ul. SNP 2;95330
Stredná priemyselná škola elektrotechnická S. A. Jedlika - Jedlik Ányos Elektrotechnikai Szakkézépiskola - ako organizač;Nové Zámky;Komárňanská 28;94075
Gymnázium;Bytča;Štefánikova 219/4;1401
Gymnázium Jozefa Miloslava Hurbana;Čadca;17. novembra 1296;2201
Gymnázium;Turzovka;Ľ. Štúra 35;2354
Gymnázium Pavla Országa Hviezdoslava;Dolný Kubín;Hviezdoslavovo nám. 18;2624
Cirkevné gymnázium Andreja Radlinského ako organizačná zložka Cirkevnej spojenej školy;Dolný Kubín;Okružná 2026/25;2601
Gymnázium;Kysucké Nové Mesto;Jesenského 2243;2404
Gymnázium;Liptovský Hrádok;Hradná 23;3301
Gymnázium Michala Miloslava Hodžu;Liptovský Mikuláš;M. M. Hodžu 860/9;3136
Evanjelické gymnázium Juraja Tranovského ako organizačná zložka Evanjelickej spojenej školy;Liptovský Mikuláš;Komenského 10;3101
Gymnázium Jozefa Lettricha;Martin;J. Lettricha 2;3601
Gymnázium Viliama Paulinyho Tótha;Martin;Malá hora 3;3601
Bilingválne gymnázium Milana Hodžu;Sučany;Komenského 215;3852
Gymnázium Jozefa Cígera Hronského ako organizačná zložka Spojenej školy;Vrútky;M. R. Štefánika 1;3861
Gymnázium Antona Bernoláka;Námestovo;Mieru 307/23;2901
Gymnázium;Ružomberok;Š. Moyzesa 21;3401
Gymnázium sv. Andreja;Ružomberok;Námestie A. Hlinku 5;3450
Gymnázium Mikuláša Galandu ako organizačná zložka Spojenej školy;Turčianske Teplice;Horné Rakovce 1440/29;3901
Gymnázium Martina Hattalu;Trstená;Železničiarov 278;2801
Gymnázium;Tvrdošín;Školská 837;2744
Gymnázium;Rajec;Javorová 5;1521
Gymnázium Andreja Škrábika ako organizačná zložka Katolíckej spojenej školy;Rajec;Nám. Andreja Škrábika č.5;1501
Gymnázium;Žilina;Hlinská 29;1180
Gymnázium;Žilina;Veľká okružná 22;1001
Gymnázium sv. Františka z Assisi;Žilina;J. M. Hurbana 44;1001
Gymnázium;Žilina;Varšavská cesta 1;1008
Gymnázium bilingválne;Žilina;Tomáša Ružičku 3;1001
Športové gymnázium ako organizačná zložka Spojenej školy;Žilina;Rosinská cesta 4;1008
Súkromné gymnázium;Žilina;Oravská cesta 11;1001
Gymnázium Kráľovnej pokoja ako organizačná zložka Spojenej školy Kraľovnej pokoja;Žilina;Na Závaží 2;1001
Súkromné bilingválne gymnázium;Ružomberok;Bystrická cesta 174/5;3401
Evanjelické gymnázium ako organizačná zložka Evanjelickej spojenej školy;Martin;M. R. Štefánika 17;3601
Stredná zdravotnícka škola sv. Františka z Assisi;Čadca;Horná 137;2201
Stredná zdravotnícka škola;Dolný Kubín;M. Hattalu 2149;2601
Stredná zdravotnícka škola;Liptovský Mikuláš;Vrbická 632;3101
Stredná zdravotnícka škola M.T. Schererovej;Ružomberok;Dončova 7;3401
Stredná zdravotnícka škola;Žilina;Hlboká cesta 23;1001
Konzervatórium;Žilina;J. M. Hurbana 48;1001
Súkromné hudobné a dramatické konzervatórium ako organizačná zložka Súkromnej spojenej školy;Martin;Ul. J. Lettricha č. 3;3601
Súkromné tanečné konzervatórium;Liptovský Hrádok;Hradná 340;3301
Škola úžitkového výtvarníctva;Ružomberok;Scota Viatora 6;3401
Súkromná stredná umelecká škola ako organizačná zložka Súkromnej spojenej školy;Martin;Ul. J. Lettricha č. 3;3601
Stredná umelecká škola ako organizačná zložka Spojenej školy;Nižná;Hattalova 471;2743
Súkromná stredná umelecká škola;Žilina;Hálkova 2968/22;1001
Súkromná stredná odborná škola;Dolný Kubín;SNP 1202/14;2601
Stredná odborná škola;Námestovo;Hattalova 968/33;2901
Stredná odborná škola pre žiakov s telesným postihnutím ako organizačná zložka Spojenej školy internátnej;Žilina;Fatranská 3321/22;1008
Stredná odborná škola sv. Jozefa Robotníka;Žilina;Saleziánska 18;1001
Súkromná stredná odborná škola;Žilina;Saleziánska 18;1001
Súkromná stredná odborná škola spoločného stravovania;Žilina;Závodská cesta 2961;1001
Stredná odborná škola ako organizačná zložka Spojenej školy;Žilina;Hlavná 2;1009
Súkromná stredná odborná škola;Bytča;Sidónie Sakalovej 182;1438
Stredná odborná škola strojnícka;Kysucké Nové Mesto;Športová 1326;2401
Stredná odborná škola strojnícka ako organizačná zložka Spojenej školy;Martin;Červenej armády 25;3601
Stredná odborná škola odevná ako organizačná zložka Spojenej školy;Žilina;Hlavná 2;1009
Stredná odborná škola drevárska a stavebná;Krásno nad Kysucou;Krásno nad Kysucou č.1642;2302
Stredná odborná škola drevárska ako organizačná zložka Spojenej školy;Žilina;Rosinská cesta 4;1008
Stredná odborná škola stavebná;Liptovský Mikuláš;Školská 8;3145
Stredná odborná škola stavebná;Žilina;Tulipánová 2;1162
Stredná priemyselná škola stavebná;Žilina;Veľká okružná 25;1001
Stredná priemyselná škola ako organizačná zložka Spojenej školy;Kysucké Nové Mesto;Nábrežná 1325;2401
Stredná priemyselná škola;Martin;L. Novomeského 5/24;3636
Stredná priemyselná škola Ignáca Gessaya ako organizačná zložka Spojenej školy;Tvrdošín;Medvedzie  133/1;2744
Stredná odborná škola poľnohospodárstva a služieb na vidieku;Žilina;Predmestská 82;1062
Stredná odborná škola lesnícka a drevárska Jozefa Dekreta Matejovie;Liptovský Hrádok;Hradná 534;3301
Stredná odborná škola lesnícka;Tvrdošín;Medvedzie 135;2744
Hotelová akadémia;Liptovský Mikuláš;Čs. brigády 1804;3101
Súkromná hotelová akadémia ako organizačná zložka Súkromnej Spojenej školy EDUCO;Námestovo;Slanická osada 2178;2901
Hotelová akadémia;Žilina;Hlinská 31;1001
Obchodná akadémia Dušana Metoda Janotu;Čadca;17. novembra 2701;2201
Obchodná akadémia;Dolný Kubín;Radlinského 1725/55;2636
Obchodná akadémia;Liptovský Mikuláš;Nábrežie K.Petroviča 1571;3147
Obchodná akadémia;Martin;Bernolákova 2;3637
Obchodná akadémia;Ružomberok;Scota Viatora 4;3401
Súkromná obchodná akadémia ako organizačná zložka Súkromnej Spojenej školy EDUCO;Námestovo;Slanická osada 2178;2901
Obchodná akadémia;Žilina;Veľká okružná 32;1157
Obchodná akadémia sv. Tomáša Akvinského;Žilina;Vysokoškolákov 13;1008
Súkromná stredná odborná škola Pro scholaris;Žilina;Jarná 13;1001
Stredná odborná škola podnikania;Žilina;Sasinkova 45;1001
Stredná odborná škola obchodu a služieb;Čadca;Ul. 17. novembra 2579;2201
Stredná odborná škola obchodu a služieb;Dolný Kubín;Pelhřimovská 1186/10;2680
Stredná odborná škola obchodu a služieb;Martin;Stavbárska 11;3601
Stredná odborná škola obchodu a služieb ako organizačná zložka Spojenej školy;Ružomberok;Scota Viatora 8;3401
Pedagogická a Sociálna akadémia sv. Márie Goretti;Čadca;Horná 137;2201
Pedagogická a sociálna akadémia;Turčianske Teplice;SNP 509/116;3914
Praktická škola sv. Jozefa ako organizačná zložka Spojenej školy sv. Jozefa internátna;Turzovka;Jašíkova 219;2354
Praktická škola ako organizačná zložka Spojenej školy internátnej;Kysucké Nové Mesto;Murgašova 580;2401
Praktická škola ako organizačná zložka Spojenej školy internátnej;Námestovo;Mila Urbana 160/45;2901
Praktická škola ako organizačná zložka Spojenej školy;Čadca;Palárikova 2758;2201
Praktická škola ako organizačná zložka Spojenej školy internátnej;Bytča;Mičurova 367/3;1401
Praktická škola pri SSI;Žilina;Fatranská 3321/22;1008
Odborné učilište ako organizačná zložka Spojenej školy internátnej;Kysucké Nové Mesto;Murgašova 580;2401
Odborné učilište internátne;Liptovský Mikuláš;Janka Alexyho 1942;3101
Odborné učilište;Martin;Stavbárska 11;3680
Spojená škola-Odborné učilište;Ružomberok;Scota Viatora 8;3401
Spojená škola internátna-Odborné učilište;Žilina;Fatranská 3321/22;1008
Odborné učilište ako organizačná zložka Spojenej školy internátnej;Námestovo;M. Urbana 160/45;2901
Dopravná akadémia;Žilina;Rosinská cesta 2;1008
Stredná odborná škola technická;Čadca;Okružná 693;2201
Stredná odborná škola technická;Námestovo;Komenského 496/37;2901
Spojená škola- org. zl. Stredná odborná škola technická;Nižná;Hattalova 471;2743
Stredná odborná škola polytechnická;Dolný Kubín;Jelšavská 404;2601
Stredná odborná škola polytechnická;Liptovský Mikuláš;Demänovská cesta 669;3101
Stredná odborná škola polytechnická;Ružomberok;Sládkovičova ulica 104;3401
Stredná odborná škola elektrotechnická;Liptovský Hrádok;Celiny 536;3315
Stredná odborná škola elektrotechnická;Žilina;Komenského 50;1001
Stredná odborná škola dopravná;Martin;Zelená 2;3608
Gymnázium Andreja Sládkoviča;Banská Bystrica;J.A. Komenského 18;97401
Gymnázium Jozefa Gregora Tajovského;Banská Bystrica;J.G.Tajovského 25;97400
Gymnázium Mikuláša Kováča;Banská Bystrica;Mládežnícka 51;97404
Športové gymnázium;Banská Bystrica;Trieda SNP 54;97401
Katolícke gymnázium Štefana Moysesa;Banská Bystrica;Hurbanova 9;97401
Evanjelické gymnázium;Banská Bystrica;Skuteckého 5;97401
Súkromné gymnázium Banskobystrické;Banská Bystrica;Zvolenská cesta 18;97535
Gymnázium Andreja Kmeťa;Banská Štiavnica;Kolpašská 1738/9;96917
Katolícke gymnázium sv. Františka Assiského ako organizačná zložka Katolíckej spojenej školy sv. Františka Assiského;Banská Štiavnica;Gwerkovej-Göllnerovej 9;96901
Gymnázium Jána Chalupku;Brezno;Štúrova 13;97718
Súkromné gymnázium Železiarne Podbrezová;Podbrezová;Družby 554/64;97681
Gymnázium;Detva;Štúrova 849;96212
Gymnázium Andreja Sládkoviča;Krupina;M. R. Štefánika 8;96301
Gymnázium - Gimnázium;Fiľakovo;Nám. padlých hrdinov 2;98615
Gymnázium Boženy Slančíkovej Timravy;Lučenec;Haličská cesta 9;98403
Súkromné gymnázium;Lučenec;Gemerská cesta 1;98401
Gymnázium ako organizačná zložka spojenej školy;Poltár;Železničná 5;98701
Gymnázium Martina Kukučína;Revúca;V. Clementisa 1166/21;5001
Prvé slovenské literárne gymnázium;Revúca;Železničná 260;5001
Gymnázium - Gimnázium;Tornaľa;Hurbanova 34;98201
Gymnázium Mateja Hrebendu;Hnúšťa;Hlavná 431;98112
Gymnázium Ivana Kraska - Ivan Krasko Gimnázium;Rimavská Sobota;P. Hostinského 3;97901
Gymnázium Mihálya Tompu Reformovanej kresťanskej cirkvi s vyučovacím jazykom maďarským - Tompa Mihály Reform. Gimnázium;Rimavská Sobota;Daxnerova 42;97901
Evanjelické gymnázium;Tisovec;Jesenského 836;98061
Gymnázium  Augusta Horislava Škultétyho;Veľký Krtíš;Školská 21;99001
Gymnázium Ľudovíta Štúra;Zvolen;Hronská 1467/3;96049
Súkromné športové gymnázium;Zvolen;Kalinčiakova 87;96001
Gymnázium Františka Švantnera;Nová Baňa;Bernolákova 9;96801
Súkromné gymnázium;Kremnica;P. Križku 390/4;96701
Gymnázium pre žiakov so sluchovým postihnutím internátne;Kremnica;Kutnohorská 675/20;96701
Súkromné gymnázium;Kremnica;Dolná 48/19;96701
Gymnázium Milana Rúfusa;Žiar nad Hronom;Ul. J. Kollára 2;96501
Stredná zdravotnícka škola;Banská Bystrica;J.G.Tajovského 24;97429
Stredná zdravotnícka škola;Lučenec;Lúčna 2;98417
Stredná zdravotnícka škola;Zvolen;J. Kozáčeka 4;96001
Konzervatórium Jána Levoslava Bellu;Banská Bystrica;Skuteckého 27;97401
Súkromné hudobné a dramatické konzervatórium;Rimavská Sobota;Školská 31;97901
Súkromné konzervatórium;Zvolen;Kalinčiakova 87;96001
Súkromná škola úžitkového výtvarníctva;Kremnica;P. Križku 390/4;96701
Súkromná stredná umelecká škola;Zvolen;Môťovská cesta 8164;96001
Súkromná stredná umelecká škola;Hodruša-Hámre;Kyslá 214;96661
Súkromná stredná umelecká škola scénického výtvarníctva;Zvolen;Kalinčiakova 87;96001
Stredná odborná škola;Banská Bystrica;Pod Bánošom 80;97411
Stredná odborná škola služieb a lesníctva;Banská Štiavnica;Kolpašská 1586/9;96956
Stredná odborná škola techniky a služieb;Brezno;Laskomerského 3;97746
Stredná odborná škola ako organizačná zložka Spojenej školy;Detva;Štúrova 848;96212
Stredná odborná škola - Szakközépiskola;Fiľakovo;J.Kalinčiaka 1584/8;98601
Stredná odborná škola hotelových služieb a dopravy;Lučenec;Zvolenská cesta 83;98401
Stredná odborná škola ako organizačná zložka Spojenej školy;Poltár;Železničná 5;98701
Stredná odborná škola;Revúca;Generála Viesta 6;5001
Súkromná stredná odborná škola;Revúca;Železničná 2;5001
Stredná odborná škola - Szakközépiskola;Tornaľa;Šafárikova 56;98201
Stredná odborná škola;Hnúšťa;Hlavná 425;98111
Súkromná stredná odborná škola;Hnúšťa;Francisciho 372;98101
Stredná odborná škola technická a agropotravinárska - Müszaki, Mezőgazdasági és Élelmiszeripari Szakkőzépiskola;Rimavská Sobota;Okružná 61;97901
Stredná odborná škola;Tisovec;Jesenského 903;98061
Stredná odborná škola;Veľký Krtíš;Poľná 10;99001
Stredná odborná škola;Želovce;Gottwaldova 70/43;99106
Stredná odborná škola;Žarnovica;Bystrická 4;96681
Súkromná stredná odborná škola;Hliník nad Hronom;Kopaničná 237;96601
Stredná odborná škola pre žiakov so sluchovým postihnutím internátna;Kremnica;Kutnohorská 675/20;96701
Súkromná stredná odborná škola - Magán Szakközépiskola;Rimavská Sobota;Novomeského 2070;97901
Súkromná stredná odborná škola hutnícka Železiarne Podbrezová;Podbrezová;Družby 554/64;97681
Stredná odborná škola odevná pre žiakov so sluchovým postihnutím internátna;Kremnica;Kutnohorská 675/20;96701
Stredná odborná škola drevárska;Zvolen;Lučenecká 2193/17;96001
Stredná odborná škola stavebná ako organizačná zložka Spojenej školy;Banská Bystrica;Kremnička 10;97405
Stredná priemyselná škola stavebná ako organizačná zložka Spojenej školy;Banská Bystrica;Kremnička 10;97405
Stredná priemyselná škola stavebná  Oskara Winklera - Winkler Oszkár Építöipari Szakközépiskola;Lučenec;B. Němcovej 1;98415
Stredná priemyselná škola Jozefa Murgaša;Banská Bystrica;Hurbanova 6;97518
Stredná priemyselná škola Samuela Mikovíniho;Banská Štiavnica;Akademická 13;96915
Stredná odborná škola informačných technológií;Banská Bystrica;Tajovského 30;97590
Stredná odborná škola lesnícka;Banská Štiavnica;Akademická 16;96901
Súkromná hotelová akadémia;Banská Štiavnica;Drieňová 12;96916
Hotelová akadémia;Brezno;Malinovského 1;97701
Obchodná akadémia;Banská Bystrica;J.G.Tajovského 25;97573
Obchodná akadémia;Brezno;Malinovského 1;97701
Obchodná akadémia ako organizačná zložka Spojenej školy;Detva;Štúrova 848;96212
Obchodná akadémia;Lučenec;Lúčna 4;98416
Obchodná akadémia - Kereskedelmi Akadémia;Rimavská Sobota;K. Mikszátha 1;97980
Obchodná akadémia ako organizačná zložka Spojenej školy;Modrý Kameň;Jarmočná 1;99280
Súkromná obchodná akadémia;Žiar nad Hronom;Ul.SNP 16;96501
Súkromná obchodná akadémia;Banská Bystrica;Dolná 54;97401
Stredná odborná škola podnikania ako organizačná zložka Spojenej školy;Banská Bystrica;Školská 7;97401
Súkromná stredná odborná škola podnikania;Zvolen;Nám. Mládeže 587/17;96001
Stredná odborná škola obchodu a služieb;Krupina;M. R. Štefánika 8;96301
Stredná odborná škola obchodu a služieb;Rimavská Sobota;Športová 1;97901
Stredná odborná škola obchodu a služieb ako organizačná zložka Spojenej školy;Modrý Kameň;Jarmočná 1;99280
Súkromná stredná odborná škola obchodu a služieb;Očová;Partizánska 8;96223
Stredná odborná škola obchodu a služieb;Nová Baňa;Osvety 17;96801
Stredná odborná škola obchodu a služieb;Žiar nad Hronom;Jilemnického 1282;96501
Stredná odborná škola hotelových služieb a obchodu;Banská Bystrica;Školská 5;97590
Stredná odborná škola hotelových služieb a obchodu;Zvolen;Jabloňová 1351;96001
Súkromná stredná odborná škola pedagogická EBG;Brezno;Školská 5;97701
Pedagogická a sociálna akadémia - Pedagógiai és Szociális Akadémia;Lučenec;J.A.Komenského 12;98418
Elokované pracovisko ako súčasť Súkromnej strednej odbornej školy pedagogickej EBG;Žiar nad Hronom;Nám. Matice slovenskej 23;96501
Praktická škola ako súčasť Špeciálnej základnej školy;Banská Bystrica;Ďumbierska 15;97411
Praktická škola internátna ako súčasť Odborného učilišťa internátneho;Valaská;Švermova 1;97646
Súkromná praktická škola;Detva;Pionierska 850/13;96212
Praktická škola ako súčasť Špeciálnej základnej školy;Lučenec;Zvolenská cesta 59;98401
Praktická škola ako súčasť Špeciálnej základnej školy;Jelšava;Nám.republiky 62;4916
Praktická škola ako súčasť Špeciálnej základnej školy;Rimavská Sobota;Bottova 13;97901
Praktická škola s vyučovacím jazykom maďarským ako súčasť Špeciálnej základnej školy s vyučovacím jazykom maďarským;Rimavská Sobota;Hviezdoslavova 24;97901
Praktická škola ako organizačná zložka Spojenej školy;Nová Baňa;Školská 5;96801
Praktická škola;Kremnica;Českoslov. armády 183/1;96732
Odborné učilište internátne Viliama Gaňu;Banská Bystrica;Moskovská 17;97404
Odborné učilište internátne;Valaská;Švermova 1;97646
Odborné učilište internátne;Lučenec;Haličská cesta 80;98403
Odborné učilište internátne ako organizačná zložka Spojenej školy internátnej;Tornaľa;Mierová 49;98201
